,id,q_format,a_format
20,F2,What are the all [COURSE_LEVEL] hundred level courses for [MAJOR] being offered this quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] this quarter are: [COURSE_LIST].
21,F2,Which [COURSE_LEVEL] hundred level courses will be offered for [MAJOR] this quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] this quarter are: [COURSE_LIST]
22,F2,What are the all [COURSE_LEVEL] hundred level courses for [MAJOR] being offered next quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] next quarter are: [COURSE_LIST].
23,F2,How many units are required to obtain the 4+1 blended BS/MS degree for [MAJOR]?, [NUM_UNITS] are required to obtain a BS/MS degree via the 4+1 program for [MAJOR]
24,F2,What courses are required for the [CONCENTRATION] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE_LIST].
25,F2,Which courses do I need to take for the [CONCENTRATION] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE_LIST].
26,F2,What are the life science support elective options for [MAJOR],[MAJOR] requires the following life support courses: [COURSE_LIST]
27,F2,What are the support course options for [MAJOR]?,[MAJOR] requires the following support courses: [COURSE_LIST]
28,F2,Which courses can I take after taking [COURSE] for the [MAJOR]?,"After taking [COURSE], you may take any of [COURSE_LIST]"
29,F2,Which [COURSE_LEVEL] hundred level courses are part of the [MAJOR] major?,[MAJOR] has the following [COURSE_LEVEL]-hundred level courses: [COURSE_LIST].
30,F2,Which [COURSE_LEVEL] hundred level courses are part of the [MINOR]?,[MINOR] has the following [COURSE_LEVEL]-hundred level courses: [COURSE_LIST].
31,F2,Which courses are part of the [CONCENTRATION]?,[CONCENTRATION] has the following courses: [COURSE_LIST].
32,F2,Which courses are optional for [MINOR]?,The following courses are optional for [MINOR]: [COURSE_LIST].
33,F2,How many courses in [MINOR] overlap with [MAJOR]?,There are [NUMERIC] courses in common between the [MAJOR] and the [MINOR]. These are: [COURSE_LIST]
34,F2,Which courses are taught after [TIME] for [MAJOR] on [WEEKDAY] this quarter?,The following courses are taught after [TIME] on [WEEKDAY] this quarter: [COURSE_LIST].
35,F2,Which courses are taught after [TIME] for [MAJOR] on [WEEKDAY] next quarter?,The following courses are taught after [TIME] on [WEEKDAY] next quarter: [COURSE_LIST].
36,F2,Which courses in [MAJOR] can I skip through AP Credit?,"The following AP exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N]."
37,F2,Which courses in [MAJOR] can I skip through IB Credit?,"The following IB exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N]."
38,F2,Which majors require [COURSE]?,[MAJOR_LIST] all require [COURSE]
39,F2,Which majors avoid [COURSE]?,[MAJOR_LIST] all do not require [COURSE]
40,F2,Which minor or concentration adds the least amount of graduation time to the [MAJOR]?,"[MINOR/CONCENTRATION] adds only [NUMERIC] extra units to [MAJOR], assuming that you double-count as many classes as possible."
41,F2,How many [CLASS_LEVEL] courses will be taught this quarter?,There will be [NUM_COURSES] being taught this quarter. They are: [COURSE_LIST]
42,F2,How many [CLASS_LEVEL] courses will be taught next quarter?,There will be [NUM_COURSES] being taught next quarter. They are: [COURSE_LIST]
43,F2,How many general education courses do I need to take for the [MAJOR] major?,"In order to complete the [MAJOR] major, you will need to take [NUM_COURSES] general education courses."
44,F2,How many support courses do I need to take for the [MAJOR] major?,"In order to complete the [MAJOR] major, you will need to take [NUM_COURSES] courses."
45,F2,What are the sections times for [COURSE] next quarter?,There are [NUM_SECTIONS] sections [COURSE] next quarter where the section tims are the following: [SECTION-NUMBER] [DAY] [TIME]...
46,F2,What are the sections times for [COURSE] this quarter?,There are [NUM_SECTIONS] sections for [COURSE] this quarter where the section tims are the following: [SECTION-NUMBER] [DAY] [TIME]...
47,F2,How many sections of [COURSE] are being offered this quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered this quarter.
48,F2,How many sections of [COURSE] are being offered next quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered next quarter.
49,F2,What is the units break down for [MAJOR] major?,"You need [NUM_UNITS] major units, [NUM_UNITS] GE units, [NUM_UNITS] support units, [NUM_UNITS] life science support elective units, ..., [NUM_UNITS] free elective units"
50,F2,How many GE units do I need for the [MAJOR] major? ,You need [NUM_UNITS] GE units to complete the [MAJOR] major.
51,F2,How many support units do I need for the [MAJOR] major? ,You need [NUM_UNITS] support units to complete the [MAJOR] major.
52,F2,How many units do I need for the [MAJOR] major?,You need [NUM_UNITS] units to complete the [MAJOR] major.
53,F2,"In order to complete the [MAJOR] major, how many units will I need?",You need [NUM_UNITS] units to complete the [MAJOR] major.
54,F2,How many units do I need for the [MINOR] minor?,You need [NUM_UNITS] units to complete the [MINOR] minor.
55,F2,What is the average grade for [CLASS] taught by [PROF] according to polyratings?,The average grade for [CLASS] taught by [PROF] is [GRADE]
56,F2,How many courses is [PROF] teaching?,[PROF] is teaching [NUMERIC] classes. He will be teaching [COURSE_LIST]
57,F2,How many units does the [MAJOR] require?,The [MAJOR] requires [NUMERIC] units to graduate.
58,F2,How many extra quarters would [MINOR] add to the [MAJOR]?,"If you try to double-count as many courses as possible, [MINOR] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, [MINOR] would add [NUMERIC_2] extra quarters to [MAJOR]."
59,F2,How many classes per quarter do I have to take for [MAJOR]?,"To finish the [MAJOR] in 4 years, you must average [NUMERIC] classes per quarter."
60,F2,"If I take the [MAJOR] with the [MINOR], how long would it take me to graduate?","If you try to double-count as many courses as possible, [MINOR] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, [MINOR] would add [NUMERIC_2] extra quarters to [MAJOR]."
61,F2,"If I take the [MAJOR] with the [MINOR] and the [CONCENTRATION], how long would it take me to graduate?","If you try to double-count as many courses as possible, [MINOR] and [CONCENTRATION] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, they would add [NUMERIC_2] extra quarters to [MAJOR]."
62,F2,How many units from [CLASS_TYPE] do I need for [MAJOR]?  ,[MAJOR] requires [NUMERIC] units of [CLASS_TYPE]
63,F2,How many concentrations are there in [MAJOR]?,There are [NUMERIC] concentrations in [MAJOR]. They are: [CONCENTRATION_LIST].
64,F2,What is the minimum score I need on the [EXAM] to get credit for [COURSE]?,The minimum score to receive credit for [COURSE] through the [EXAM] is [NUMERIC].
65,F2,How many courses do I need to take per quarter to get a degree in [MAJOR] within [NUMERIC] years?,"To complete [MAJOR] in [NUMERIC_1] years, you must take an average of [NUMERIC_2] classes per quarter."
66,F2,"If I already have [NUMERIC] units, how many quarters would it take me to complete [MAJOR]?","Assuming you average 4 classes per quarter, it would take you [NUMERIC] more quarters to finish [MAJOR]."
67,F2,How many units does [COURSE] count towards?,[COURSE] counts as [NUMERIC] units.
68,F2,How many courses are required for [MINOR]?,[MINOR] requires [NUMERIC] courses. They are:  [COURSE_LIST].
69,F2,How many [DEPARTMENT] courses does [MAJOR] require?,[MAJOR] requires [NUMERIC] courses from the [DEPARTMENT]: [COURSE_LIST].
70,F2,Which [PROF] is best for [COURSE]? ,[PROF] has the highest Polyrating out of all instructors for [COURSE]
71,F2,When is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER_LIST].
72,F2,During what quarters is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER_LIST].
73,F2,When do people typically take [COURSE] for the [MAJOR]?,Students in [MAJOR] typically take [COURSE] between [QUARTER_1] and [QUARTER_2]
74,F2,Is [PROF] teaching [COURSE] this quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] this quarter."
75,F2,Is [PROF] teaching [COURSE] next quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] next quarter."
76,F2,Will [COURSE] be taught by [PROF] next quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] next quarter."
77,F2,Is [PROF] going to teach [COURSE] next quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] next quarter."
78,F2,Can I take [COURSE_1] before having completed [COURSE_2]?,"[YES/NO], you can(not) take [COURSE_1] without previously taking [COURSE_2]."
79,F2,Can I take [COURSE_1] at the same time as [COURSE_2]?,"[YES/NO], you can(not) take [COURSE_1] at the same time as [COURSE_2]. {if no: [COURSE_1/2] must be taken first.}"
80,F2,Do I have to take [COURSE_1] before [COURSE_2]?,"[YES/NO], you (do not) need to take [COURSE_1] before [COURSE_2]."
81,F2,Are there any [MAJOR] electives related to [KEYWORD]?,"[YES/NO], the following courses are [MAJOR] electives related to [KEYWORD]: [COURSE_LIST]."
82,F2,Does the [MAJOR] have any electives about [KEYWORD]?,"[YES/NO], the following courses are [MAJOR] electives related to [KEYWORD]: [COURSE_LIST]."
83,F2,Do I have to take [COURSE] for the [MAJOR]?,"[YES/NO], you are required to take [COURSE]. It is a prerequisite for [COURSE_LIST]"
84,F2,Does the [MAJOR] require [COURSE]?,"[YES/NO], [COURSE] is part of the [MAJOR]. It is a prerequisite for [COURSE_LIST]"
85,F2,Does [COURSE] also count for the [MINOR]?,"[YES/NO], [COURSE] is part of the [MINOR] and [is one of the required courses] OR [; however, it is not a required course and can be replaced by any of the following: [COURSE_LIST]"
86,F2,Do I have to take [COURSE] for the [MINOR]?,"[YES/NO], [COURSE] is part of the [MINOR] and [is one of the required courses] OR [; however, it is not a required course and can be replaced by any of the following: [COURSE_LIST]"
87,F2,Does [MINOR] require [COURSE]?,"[YES/NO], [COURSE] is part of the [MINOR] and [is one of the required courses] OR [; however, it is not a required course and can be replaced by any of the following: [COURSE_LIST]"
88,F2,Does the [MINOR] require any [DEPARTMENT] courses?,"[Y/N], [MINOR] requires the following courses:  [COURSE_LIST] OR [MINOR] does not require any [DEPARTMENT] courses."
89,F2,Can I double major with [MAJOR]?,"[Y]: In addition to [MAJOR], you may also major in [MAJOR_LIST]: You may not double major with [MAJOR]."
90,F2,What are the degree requirements for [MAJOR]?,The degree requirements for [MAJOR] are: [DEGREE_REQUIREMENTS]
91,F2,How many students are enrolled in [MAJOR]?,There are currently [TOTAL_COUNT] students enrolled in [MAJOR]
92,F2,Is there a BS/MS blend with [MAJOR]?,[Y]: [MAJOR] has a 4+1 BS/MS program or [N]: [MAJOR] currently does not have a blended Bachelor's and Masters program
93,F2,How many units are required for [MINOR]?,[TOTAL_COUNT] units are required to obtain a [MINOR] minor
94,F2,Is [COURSE] going to be offered next quarter?,Y/N: [COURSE] is (not) going to be offered next quarter.
95,F2,Does an inquiry need to be submitted to switch into [MAJOR],"If one is switching within the College of Engineering into [MAJOR], then there is no portal inquiry required to switch."
96,F2,What are the minimum requirements to switch into [MAJOR],To switch into [MAJOR]: [REQUIREMENTS]
97,F2,How many [COURSE_LEVEL] courses are needed as part of the 4+1 program? , [NUM_COURSES] courses at the [COURSE_LEVEL] level are needed as part of the blended BS/MS program.
98,F2,Does [MAJOR] contain any free electives?,Y/N: [MAJOR] does (not) have free electives are part of its degree requirements
99,F2,What courses are needed to obtain [CONCENTRATION],"To obtain the [CONCENTRATION] concentration, students must take [COURSE][0], [COURSE][1]...and [COURSE][N]"
100,F2,IS [COURSE] needed to obtain a [MAJOR] degree?,Y/N: [COURSE] is (not) needed to obtain a [MAJOR] degree
101,F2,IS [COURSE] needed to obtain a [MINOR] minor?,Y/N: [COURSE] is (not) needed to obtain a [MINOR] minor
102,F2,IS [COURSE] needed to obtain a [CONCENTRATION] concentration?,Y/N: [COURSE] is (not) needed to obtain a [CONCENTRATION] concentration.
103,F2,Is tutuoring offered for [COURSE],"Y/N: Tutoring is offered for [COURSE],    (if yes) Here is the tutoring schedule [TUTORING_SCHED]"
104,F2,Is [CONCENTRATION] open for [MAJOR] majors?,"Y/N, [CONCENTRATION] is (not) open for students who are [MAJOR] majors"
105,F2,Is there a GPA requirement to enroll in [CONCENTRATION],"Y/N, there is (not) a GPA requirement to begin this [CONCENTRATION].  if yes: The GPA requirement to enroll is [GPA_REQ]"
106,F2,Which catalog does someone admitted in [Term/Year] follow?,"If someone is admitted in [TERM/YEAR], they will follow the [CP_CATALOG_YEAR] catalog."
107,F2,How many tech electives are required for [MAJOR]?,There are [TOTAL_ELECTIVE_COUNT] electives required as part of the [MAJOR] degree requirements
108,F2,Is [COURSE] considered a technical elective for [MAJOR]?,Y/N: [COURSE] is (not) considered a technical elective for [MAJOR] 
109,F2,Is there any information on [COURSE]?,Sure! Here's some more information on [COURSE]. [COURSE_DESCRIPTION]
110,F2,Is [COURSE] currently offered?,Y/N: [COURSE] is currently (not) being taught this quarter.
111,F2,Is [PROFESSOR] going to be teaching [COURSE] next quarter?,Y/N: [COURSE] will (not) be taught by [PROFESSOR]
112,F2,Is [COURSE] a 4 unit class?,Y/N: [COURSE] is a [NUM_UNITS] unit class
113,F2,Does [COURSE] have any prerequisites?,"Y, the prerequisites for [COURSE] are [PREREQ] or N, this course doesn't have any prerequisites"
114,F2,What are the general education categories required for [MAJOR] majors?,The general education categories needed for [MAJOR] majors are [GE_TYPES]
115,F2,Does a student need to take [COURSE1] before enrolling in [COURSE2],"Y/N, a student does (not) need to enroll in [COURSE1] before enrolling in [COURSE2]"
116,F2,Is [GRADE] enough to get credit for [COURSE]?,"Y/N, this grade is considered ""passing"" for [COURSE]"
117,F2,Are there any [MAJOR] classes that can be taken by credit/no credit?,"N, there are no major classes for [MAJOR] that can be taken on a pass/fail basis."
118,F2,Are there general education courses that can be taken by credit/no credit?,"Y, students are allowed to select a maximum of 4 GE units to enroll on a pass/fail basis"
119,F2,Can any technical electives for [MAJOR] be taken by credit/no credit?,"N, technical electives for [MAJOR] majors are not allowed to be taken on a pass/fail basis."
0,H1,What terms is [CLASS_NAME] typically offered?,[CLASS_NAME] is offered in [QUARTER_LIST].
1,H1,What terms is [CLASS_CODE] typically offered?,[CLASS_CODE] is offered in [QUARTER_LIST].
2,H1,Which terms is [CLASS_NAME] offered?,[CLASS_NAME] is offered in [QUARTER_LIST].
3,H1,Which terms is [CLASS_CODE] offered?,[CLASS_CODE] is offered in [QUARTER_LIST].
4,H1,Is [CLASS_NAME] offered in [QUARTER]?,"Yes, [CLASS_NAME] is offered in [QUARTER]."
5,H1,Is [CLASS_CODE] offered in [QUARTER]?,"Yes, [CLASS_CODE] is offered in [QUARTER]."
6,H1,Can I take [CLASS_NAME] in [QUARTER] quarter?,"Yes, [CLASS_NAME] is offered in [QUARTER]."
7,H1,Can I take [CLASS_CODE] in [QUARTER] quarter?,"Yes, [CLASS_CODE] is offered in [QUARTER]."
8,H1,Which classes are rarely offered?,[CLASS_CODE_LIST] do not have defined term offerings.
9,H1,Which classes are offered in [QUARTER]?,[CLASS_CODE_LIST] are offered in [QUARTER].
10,H1,How many classes are offered in [QUARTER] quarter?,[NUMBER] classes are offered in [QUARTER].
11,H1,Which classes are only taught in the [QUARTER]?,[CLASS_CODE_LIST] are offered only in [QUARTER].
12,H1,Which term typically offers the most course variety?,[QUARTER] typically offers the most course variety.
13,H1,Which term typically offers the least course variety?,[QUARTER] typically offers the least course variety.
14,H1,Which term typically offers the most [COURSE_LEVEL] level courses?,[QUARTER] typically offers the most [COURSE_LEVEL] level courses.
15,H1,Which term typically offers the least [COURSE_LEVEL] level courses?,[QUARTER] typically offers the least [COURSE_LEVEL] level courses.
16,H1,Does [QUARTER] offer any [COURSE_LEVEL] courses?,"Yes, [QUARTER] offers [NUMBER] [COURSE_LEVEL] level courses."
17,H1,Which [COURSE_LEVEL] courses are offered in [QUARTER]?,[CLASS_CODE_LIST] are offered in [QUARTER].
18,H1,Which term typically offers the most upper division courses?,[QUARTER] typically offers the most upper division courses.
19,H1,Which term typically offers the least upper division level courses?,[QUARTER] typically offers the least upper division courses.
20,H1,Does [QUARTER] offer any upper division courses?,"Yes, [QUARTER] typically offers [NUMBER] upper division courses."
21,H1,Which upper division courses are offered in [QUARTER]?,[CLASS_CODE_LIST] are typically offered in [QUARTER].
22,H1,Which term typically offers the most lower division courses?,[QUARTER] typically offers the most lower division courses.
23,H1,Which term typically offers the least lower division courses?,[QUARTER] typically offers the least lower division courses.
24,H1,Does [QUARTER] offer any lower division courses?,"Yes, [QUARTER] typically offers [NUMBER] lower division courses."
25,H1,Which lower division courses are offered in [QUARTER]?,[CLASS_CODE_LIST] are typically offered in [QUARTER].
26,H1,Which classes require consent of instructor?,[CLASS_CODE_LIST] require consent of instructor.
27,H1,Does [CLASS_NAME] require consent of instructor?,"Yes, [CLASS_NAME] requires consent of instructor."
28,H1,Does [CLASS_CODE] require consent of instructor?,"Yes, [CLASS_CODE] requires consent of instructor."
29,H1,Can I get into [CLASS_NAME] with instructorâs consent?,"Yes, [CLASS_NAME] can be taken with instructorâs consent."
30,H1,Can I get into [CLASS_CODE] with instructorâs consent?,"Yes, [CLASS_CODE] can be taken with instructorâs consent."
31,H1,What are the prerequisites for [CLASS_NAME]?,The prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
32,H1,What are the prerequisites for [CLASS_CODE]?,The prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].
33,H1,What classes do I have to take before [CLASS_NAME]?,The prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
34,H1,What classes do I have to take before [CLASS_CODE]?,The prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].
35,H1,What are the recommended prerequisites for [CLASS_NAME]?,The recommended prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
36,H1,What are the recommended prerequisites for [CLASS_CODE]?,The recommended prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].
37,H1,What classes do I need in order to take [CLASS_NAME]?,The recursive prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
38,H1,What classes do I need in order to take [CLASS_CODE]?,The recursive prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
39,H1,Is [CLASS_NAME] a prerequisite for [CLASS_NAME]?,"Yes, [CLASS_NAME] is a prerequisite for [CLASS_NAME]."
40,H1,Is [CLASS_CODE] a prerequisite for [CLASS_CODE]?,"Yes, [CLASS_CODE] is a prerequisite for [CLASS_CODE]."
41,H1,Which classes have [CLASS_NAME] as a prerequisite?,[CLASS_CODE_LIST] have [CLASS_NAME] as a prerequisite.
42,H1,Which classes have [CLASS_CODE] as a prerequisite?,[CLASS_CODE_LIST] have [CLASS_CODE] as a prerequisite.
43,H1,Which classes have no prerequisites?,[CLASS_CODE_LIST] have no prerequisites.
44,H1,Which classes have more than [NUMBER] prerequisites?,[CLASS_CODE_LIST] have more than [NUMBER] prerequisites.
45,H1,Which classes have less than [NUMBER] prerequisites?,[CLASS_CODE_LIST] have less than [NUMBER] prerequisites.
46,H1,Which classes have an upper divisional prerequisite?,[CLASS_CODE_LIST] have an upper divisional prerequisite.
47,H1,Which classes have no upper divisional prerequisite?,[CLASS_CODE_LIST] have no upper divisional prerequisite.
48,H1,Does [CLASS_NAME] have an upper divisional prerequisite?,"Yes, [CLASS_NAME] has an upper divisional prerequisite."
49,H1,Does [CLASS_CODE] have an upper divisional prerequisite?,"Yes, [CLASS_CODE] has an upper divisional prerequisite."
50,H1,Which classes require a C- or better in another course?,[CLASS_CODE_LIST] require a C- or better in another course.
51,H1,Does [CLASS_NAME] require a C- or better in [CLASS_NAME]?,"Yes, [CLASS_NAME] requires a C- or better in [CLASS_NAME]."
52,H1,Does [CLASS_CODE] require a C- or better in [CLASS_CODE]?,"Yes, [CLASS_CODE] requires a C- or better in [CLASS_CODE]."
53,H1,Do I need a C- or better in [CLASS_NAME] to take any other classes?,"Yes, a C- or better in [CLASS_NAME] is required to take [CLASS_CODE_LIST]."
54,H1,Do I need a C- or better in [CLASS_CODE] to take any other classes?,"Yes, a C- or better in [CLASS_CODE] is required to take [CLASS_CODE_LIST]."
55,H1,What is the shortest path to taking [CLASS_NAME]?,The shortest path to taking [CLASS_NAME] is by taking [CLASS_CODE_LIST].
56,H1,What classes are prerequisites for the most other classes?,[CLASS_CODE_LIST] are prerequisites for [NUMBER] other classes.
57,H1,Which classes require [CLASS_QUALIFICATION] standing?,[CLASS_NAME_LIST] require [CLASS_QUALIFICATION].
58,H1,Which classes do not require [CLASS_QUALIFICATION] standing?,[CLASS_NAME_LIST] do not require [CLASS_QUALIFICATION].
59,H1,Does [CLASS_NAME] require [CLASS_QUALIFICATION] standing?,"Yes, [CLASS_NAME] requires [CLASS_QUALIFICATION] standing."
60,H1,Does [CLASS_CODE] require [CLASS_QUALIFICATION] standing?,"Yes, [CLASS_CODE] requires [CLASS_QUALIFICATION] standing."
61,H1,When do most people take [CLASS_NAME]?,Most people take [CLASS_NAME] during [QUARTER] of their [CLASS_QUALIFICATION] year.
62,H1,Which classes are limited in total credit?,[CLASS_NAME_LIST] are limited in total credit.
63,H1,Is [CLASS_NAME] limited in total credit?,[CLASS_NAME] is limited in total credit.
64,H1,Is [CLASS_CODE] limited in total credit?,[CLASS_CODE] is limited in total credit.
65,H1,Which classes count as a tech elective?,[CLASS_NAME_LIST] count as technical electives.
66,H1,Can I select [CLASS_NAME] as a tech elective?,"Yes, [CLASS_NAME] can be selected as a technical elective."
67,H1,Which classes include a lab section?,[CLASS_NAME_LIST] include a lab section.
68,H1,Which classes include lecture only?,[CLASS_NAME_LIST] include lecture only.
69,H1,Which classes are seminars?,[CLASS_NAME_LIST] are seminars.
70,H1,What is the structure of [CLASS_NAME]?,[CLASS_NAME] is a [STRUCTURE] class.
71,H1,What is the structure of [CLASS_CODE]?,[CLASS_CODE] is a [STRUCTURE] class.
72,H1,How many units is [CLASS_NAME]?,[CLASS_NAME] is worth [NUMBER] units.
73,H1,How many units is [CLASS_CODE]?,[CLASS_CODE] is worth [NUMBER] units.
74,H1,Which classes are [NUMBER] units?,[CLASS_NAME_LIST] are worth [NUMBER] units.
75,H1,Is [CLASS_NAME] a [NUMBER] unit course?,"Yes, [CLASS_NAME] is a [NUMBER] unit class."
76,H1,Is [CLASS_CODE] a [NUMBER] unit course?,"Yes, [CLASS_CODE] is a [NUMBER] unit class."
77,H1,Is [CLASS_NAME] worth more units than [CLASS_NAME]?,"Yes, [CLASS_NAME] is worth more units than [CLASS_NAME]."
78,H1,Is [CLASS_CODE] worth more units than [CLASS_CODE]?,"Yes, [CLASS_CODE] is worth more units than [CLASS_CODE]."
79,H1,Which classes are crosslisted in another department?,[CLASS_NAME_LIST] are crosslisted in another department.
80,H1,Is [CLASS_NAME] crosslisted in another department?,"Yes, [CLASS_NAME] is crosslisted in another department."
81,H1,Is [CLASS_CODE] crosslisted in another department?,"Yes, [CLASS_CODE] is crosslisted in another department."
82,H1,Which classes are crosslisted in [DEPARTMENT_ABBREVIATION]?,[CLASS_NAME_LIST] are crosslisted in [DEPARTMENT_ABBREVIATION].
83,H1,Is [CLASS_NAME] crosslisted in [DEPARTMENT_ABBREVIATION]?,"Yes, [CLASS_NAME] is crosslisted in [DEPARTMENT_ABBREVIATION]."
84,H1,Is [CLASS_CODE] crosslisted in [DEPARTMENT_ABBREVIATION]?,"Yes, [CLASS_NAME] is crosslisted in [DEPARTMENT_ABBREVIATION]."
85,H1,Which classes are credit/no credit grading only?,[CLASS_NAME_LIST] are credit/no credit grading only.
86,H1,Is [CLASS_NAME] credit/no credit grading only?,"Yes, [CLASS_NAME] is credit/no credit grading only."
87,H1,Is [CLASS_CODE] credit/no credit grading only?,"Yes, [CLASS_CODE] is credit/no credit grading only."
88,H1,What is [CLASS_NAME] about?,[CLASS_NAME] covers the following topics:  [SUBJECT_MATTER_LIST].
89,H1,What is [CLASS_CODE] about?,[CLASS_CODE] covers the following topics:  [SUBJECT_MATTER_LIST].
90,H1,What topics are covered in [CLASS_NAME]?,[CLASS_NAME] covers the following topics:  [SUBJECT_MATTER_LIST].
91,H1,What topics are covered in [CLASS_CODE]?,[CLASS_CODE] covers the following topics:  [SUBJECT_MATTER_LIST].
92,H1,Which classes include [SUBJECT_MATTER]?,The following classes cover [SUBJECT_MATTER]: [CLASS_NAME_LIST].
93,H1,Which classes donât include [SUBJECT_MATTER]?,The following classes do not cover [SUBJECT_MATTER]: [CLASS_NAME_LIST].
94,H1,Does [CLASS_NAME] include [SUBJECT_MATTER]?,Yes. [CLASS_NAME] includes [SUBJECT_MATTER].
95,H1,What is the course title for [CLASS_CODE]?,The course title for [CLASS_CODE] is [CLASS_NAME].
96,H1,What is [CLASS_CODE] also called?,[CLASS_CODE] is also called [CLASS_NAME].
97,H1,What is the name of [CLASS_CODE]?,The course title for [CLASS_CODE] is [CLASS_NAME].
98,H1,What is the course code for [CLASS_NAME]?,The course code for [CLASS_NAME] is [CLASS_CODE].
99,H1,Which classes include group work?,The following classes include group work: [CLASS_NAME_LIST].
100,H1,Does [CLASS_NAME] include group work?,Yes. [CLASS_NAME] includes group work.
101,H1,Which classes are project based?,The following classes are project based: [CLASS_NAME_LIST].
102,H1,Is [CLASS_NAME] project based?,Yes. [CLASS_NAME] is project based.
103,H1,What class should I take after [CLASS_NAME]?,After taking [CLASS_NAME] you could take [CLASS_NAME].
104,H1,What classes build off [CLASS_NAME]?,The following classes build off of [CLASS_NAME]: [CLASS_NAME_LIST].
105,H1,Which classes are two-part sequences?,"The following classes are two-part sequence classes: [CLASS_CODE] and [CLASS_CODE], ... [CLASS_CODE] and [CLASS_CODE]."
106,H1,Which classes are introductory studies?,The following classes are are introductory study classes: [CLASS_NAME_LIST].
107,H1,Which classes fulfill GE Area [GE_AREA]?,The following classes fulfill GE Area [GE_AREA]: [CLASS_NAME_LIST].
