,id,q_format,a_format,notes,other,other2,other3
67,A1,Does [Club] and [Club] have any events together?,(No. , Yes. They have [Event] on [Date].),,,
73,A1,Is [Person] a director of any team in the [CSSE-Club]?,(No.," Yes, [Person] is the director of the [Team] in the [CSSE-Club]).",,,
77,A1,Is there any club fee for joining the [CSSE-Club]?,(No.,Yes.),,,
78,A1,Is there any club fee for joining the [Stat-Club]?,(No. , Yes.),,,
79,A1,Is food provided in the [Event] of the [CSSE-Club]?, (No. , Yes.),,,
80,A1,Does the [Event] of the [CSSE-Club] require sign-up?, (No. , Yes.),,,
81,A1,Does the [Event] of the [CSSE-Club] require any fee?, (No. , Yes.),,,
83,A1,Has the [CSSE-Club] ever worked with [Company] in the past?, (No. , Yes.),,,
84,A1,Will the [CSSE-Club] have an event with [Company] next week?, (No. , Yes.),,,
85,A1,Is there an email subscription for the [CSSE-Club]?, (No. , Yes.),,,
87,A1,Does the CSSE department offer tutoring for [CSSE-Course]?, (No. , Yes.),,,
88,A1,Is there tutoring for [CSSE-Course] on [Date]?, (No. , Yes.),,,
89,A1,When is tutoring available for [CSSE-Course] on [Date]?,(There is no tutoring for [CSSE-Course] on [Date].,It is at [Time].),,,
94,A1,Is [Person] a tutor at the CSSE tutoring center?, (No. , Yes.),,,
104,A1,Does the STAT department offer private tutoring for [Stat-Course]?, (No. , Yes.),,,
106,A1,Is [Person] available as a private tutor for Statistics?,(No. , Yes.),,,
107,A1,Are there any private tutors for [Stat-Course]?,(No. ," Yes. [Person] at [Email],.",,,
108,A1,What is the contact information of private Statistics tutors that teach [Stat-Course]?,(No one tutors for that course. ," The tutors are [Person] at [Email],.",,,
13,A1,Are there any upcoming events for the [Stat-Club] club in the STAT department?,(No. , Yes. The next event is [Stat-Event] on [Date].),,,
18,A1,Is there an event for [Stat-Club] on [Date]?,(No. , Yes. There is [Stat-Event].,,,
19,A1,Are there any upcoming events for the [CSSE-Club] club in the CSSE department?,(No. , Yes. The next event is [CSSE-Event] on [Date].),,,
30,A1,Does [Stat-Club] have any projects?,(No. ," Yes. The project(s) is (are) [Project],â¦.)",,,
31,A1,Does [CSSE-Club] have any projects?,(No. , Yes. The project(s) is (are) [Project]â¦.),,,
34,A1,Does [Stat-Club] have their own room?,(No. , Yes.),,,
36,A1,Does [Stat-Club] have any sponsors?,(No. ," Yes. They are [Sponsor],â¦.)",,,
37,A1,Does [CSSE-Club] have any sponsors?,(No. ," Yes. They are [Sponsor],â¦)",,,
51,A1,Are there any [Type] clubs in the [Department] department?,(No. ," Yes: [Club], â¦.)",,,
52,A1,Is [Person] a President of any clubs?,(No. , Yes: [Club].),,,
60,A1,Is there an Instagram account for the [CSSE-Club] club?, (No. , Yes. The Instagram account for the [CSSE-Club] club is [Instagram].),,,
63,A1,Is there an Instagram account for the [Stat-Club] club?,(No. ,Yes. The Instagram account for the [Stat-Club] club is [Instagram].),,,
67,A1,Does [Club] and [Club] have any events together?,(No. , Yes. They have [Event] on [Date].),,,
73,A1,Is [Person] a director of any team in the [CSSE-Club]?,(No.," Yes, [Person] is the director of the [Team] in the [CSSE-Club]).",,,
77,A1,Is there any club fee for joining the [CSSE-Club]?,(No.,Yes.),,,
78,A1,Is there any club fee for joining the [Stat-Club]?,(No. , Yes.),,,
84,A1,Will the [CSSE-Club] have an event with [Company] next week?, (No. , Yes.),,,
85,A1,Is there an email subscription for the [CSSE-Club]?, (No. , Yes.),,,
87,A1,Does the CSSE department offer tutoring for [CSSE-Course]?, (No. , Yes.),,,
88,A1,Is there tutoring for [CSSE-Course] on [Date]?, (No. , Yes.),,,
89,A1,When is tutoring available for [CSSE-Course] on [Date]?,(There is no tutoring for [CSSE-Course] on [Date].,It is at [Time].),,,
94,A1,Is [Person] a tutor at the CSSE tutoring center?, (No. , Yes.),,,
104,A1,Does the STAT department offer private tutoring for [Stat-Course]?, (No. , Yes.),,,
106,A1,Is [Person] available as a private tutor for Statistics?,(No. , Yes.),,,
107,A1,Are there any private tutors for [Stat-Course]?,(No. ," Yes. [Person] at [Email],â¦.",,,
108,A1,What is the contact information of private Statistics tutors that teach [Stat-Course]?,(No one tutors for that course. ," The tutors are [Person] at [Email],â¦.",,,
42,A2,Whats [STAT,CSSE] tutoring office hours?,[OfficeHours],,,
43,A2,Can you reserve a tutor for [CSSE,STAT]?,"You can reserve one for STAT, not for CSSE",,,
