,id_group,group,q_format,a_format,tag0,tag1,tag2,tag3
18,18,F2,What is [PROF] schedule like this quarter?,"[PROF] will be teaching [COURSE_1] at [TIME], [COURSE_2] at [TIME], ... this quarter",[PROF],,,
19,19,F2,What is [PROF] schedule like next quarter?,"[PROF] will be teach [COURSE_1] at [TIME], [COURSE_2] at [TIME], ... next quarter",[PROF],,,
20,20,F2,What are the all [COURSE_LEVEL] hundred level courses for [MAJOR] being offered this quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] this quarter are: [COURSE_LIST].,[COURSE_LEVEL],[MAJOR],,
21,21,F2,Which [COURSE_LEVEL] hundred level courses will be offered for [MAJOR] this quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] this quarter are: [COURSE_LIST],[COURSE_LEVEL],[MAJOR],,
22,22,F2,What are the all [COURSE_LEVEL] hundred level courses for [MAJOR] being offered next quarter?,The [COURSE_LEVEL] hundred level courses being offered for [MAJOR] next quarter are: [COURSE_LIST].,[COURSE_LEVEL],[MAJOR],,
23,23,F2,How many units are required to obtain the 4+1 blended BS/MS degree for [MAJOR]?, [NUM_UNITS] are required to obtain a BS/MS degree via the 4+1 program for [MAJOR],[MAJOR],,,
24,24,F2,What courses are required for the [CONCENTRATION] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE_LIST].,[CONCENTRATION],,,
25,25,F2,Which courses do I need to take for the [CONCENTRATION] concentration?,The required courses for the [CONCENTRATION] concentration are: [COURSE_LIST].,[CONCENTRATION],,,
26,26,F2,What are the life science support elective options for [MAJOR],[MAJOR] requires the following life support courses: [COURSE_LIST],[MAJOR],,,
27,27,F2,What are the support course options for [MAJOR]?,[MAJOR] requires the following support courses: [COURSE_LIST],[MAJOR],,,
28,28,F2,Which courses can I take after taking [COURSE] for the [MAJOR]?,"After taking [COURSE], you may take any of [COURSE_LIST]",[COURSE],[MAJOR],,
29,29,F2,Which [COURSE_LEVEL] hundred level courses are part of the [MAJOR] major?,[MAJOR] has the following [COURSE_LEVEL]-hundred level courses: [COURSE_LIST].,[COURSE_LEVEL],[MAJOR],,
30,30,F2,Which [COURSE_LEVEL] hundred level courses are part of the [MINOR]?,[MINOR] has the following [COURSE_LEVEL]-hundred level courses: [COURSE_LIST].,[COURSE_LEVEL],[MINOR],,
31,31,F2,Which courses are part of the [CONCENTRATION]?,[CONCENTRATION] has the following courses: [COURSE_LIST].,[CONCENTRATION],,,
32,32,F2,Which courses are optional for [MINOR]?,The following courses are optional for [MINOR]: [COURSE_LIST].,[MINOR],,,
33,33,F2,How many courses in [MINOR] overlap with [MAJOR]?,There are [NUMERIC] courses in common between the [MAJOR] and the [MINOR]. These are: [COURSE_LIST],[MINOR],[MAJOR],,
34,34,F2,Which courses are taught after [TIME] for [MAJOR] on [WEEKDAY] this quarter?,The following courses are taught after [TIME] on [WEEKDAY] this quarter: [COURSE_LIST].,[TIME],[MAJOR],[WEEKDAY],
35,35,F2,Which courses are taught after [TIME] for [MAJOR] on [WEEKDAY] next quarter?,The following courses are taught after [TIME] on [WEEKDAY] next quarter: [COURSE_LIST].,[TIME],[MAJOR],[WEEKDAY],
36,36,F2,Which courses in [MAJOR] can I skip through AP Credit?,"The following AP exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N].",[MAJOR],,,
37,37,F2,Which courses in [MAJOR] can I skip through IB Credit?,"The following IB exams will give you credit: [EXAM_1] -> [COURSE_1], [EXAM_2] -> [COURSE_2], ..., [EXAM_N] -> [COURSE_N].",[MAJOR],,,
38,38,F2,Which majors require [COURSE]?,[MAJOR_LIST] all require [COURSE],[COURSE],,,
39,39,F2,Which majors avoid [COURSE]?,[MAJOR_LIST] all do not require [COURSE],[COURSE],,,
40,40,F2,Which minor or concentration adds the least amount of graduation time to the [MAJOR]?,"[MINOR/CONCENTRATION] adds only [NUMERIC] extra units to [MAJOR], assuming that you double-count as many classes as possible.",[MAJOR],,,
41,41,F2,How many [CLASS_LEVEL] courses will be taught this quarter?,There will be [NUM_COURSES] being taught this quarter. They are: [COURSE_LIST],[CLASS_LEVEL],,,
42,42,F2,How many [CLASS_LEVEL] courses will be taught next quarter?,There will be [NUM_COURSES] being taught next quarter. They are: [COURSE_LIST],[CLASS_LEVEL],,,
43,43,F2,How many general education courses do I need to take for the [MAJOR] major?,"In order to complete the [MAJOR] major, you will need to take [NUM_COURSES] general education courses.",[MAJOR],,,
44,44,F2,How many support courses do I need to take for the [MAJOR] major?,"In order to complete the [MAJOR] major, you will need to take [NUM_COURSES] courses.",[MAJOR],,,
45,45,F2,What are the sections times for [COURSE] next quarter?,There are [NUM_SECTIONS] sections [COURSE] next quarter where the section tims are the following: [SECTION-NUMBER] [DAY] [TIME]...,[COURSE],,,
46,46,F2,What are the sections times for [COURSE] this quarter?,There are [NUM_SECTIONS] sections for [COURSE] this quarter where the section tims are the following: [SECTION-NUMBER] [DAY] [TIME]...,[COURSE],,,
47,47,F2,How many sections of [COURSE] are being offered this quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered this quarter.,[COURSE],,,
48,48,F2,How many sections of [COURSE] are being offered next quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered next quarter.,[COURSE],,,
49,49,F2,What is the units break down for [MAJOR] major?,"You need [NUM_UNITS] major units, [NUM_UNITS] GE units, [NUM_UNITS] support units, [NUM_UNITS] life science support elective units, ..., [NUM_UNITS] free elective units",[MAJOR],,,
50,50,F2,How many GE units do I need for the [MAJOR] major? ,You need [NUM_UNITS] GE units to complete the [MAJOR] major.,[MAJOR],,,
51,51,F2,How many support units do I need for the [MAJOR] major? ,You need [NUM_UNITS] support units to complete the [MAJOR] major.,[MAJOR],,,
52,52,F2,How many units do I need for the [MAJOR] major?,You need [NUM_UNITS] units to complete the [MAJOR] major.,[MAJOR],,,
53,53,F2,"In order to complete the [MAJOR] major, how many units will I need?",You need [NUM_UNITS] units to complete the [MAJOR] major.,[MAJOR],,,
54,54,F2,How many units do I need for the [MINOR] minor?,You need [NUM_UNITS] units to complete the [MINOR] minor.,[MINOR],,,
55,55,F2,What is the average grade for [CLASS] taught by [PROF] according to polyratings?,The average grade for [CLASS] taught by [PROF] is [GRADE],[CLASS],[PROF],,
56,56,F2,How many courses is [PROF] teaching?,[PROF] is teaching [NUMERIC] classes. He will be teaching [COURSE_LIST],[PROF],,,
57,57,F2,How many units does the [MAJOR] require?,The [MAJOR] requires [NUMERIC] units to graduate.,[MAJOR],,,
58,58,F2,How many extra quarters would [MINOR] add to the [MAJOR]?,"If you try to double-count as many courses as possible, [MINOR] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, [MINOR] would add [NUMERIC_2] extra quarters to [MAJOR].",[MINOR],[MAJOR],,
59,59,F2,How many classes per quarter do I have to take for [MAJOR]?,"To finish the [MAJOR] in 4 years, you must average [NUMERIC] classes per quarter.",[MAJOR],,,
60,60,F2,"If I take the [MAJOR] with the [MINOR], how long would it take me to graduate?","If you try to double-count as many courses as possible, [MINOR] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, [MINOR] would add [NUMERIC_2] extra quarters to [MAJOR].",[MAJOR],[MINOR],,
61,61,F2,"If I take the [MAJOR] with the [MINOR] and the [CONCENTRATION], how long would it take me to graduate?","If you try to double-count as many courses as possible, [MINOR] and [CONCENTRATION] would add [NUMERIC_1] extra quarters. In the worst case, if no courses overlap, they would add [NUMERIC_2] extra quarters to [MAJOR].",[MAJOR],[MINOR],[CONCENTRATION],
62,62,F2,How many units from [CLASS_TYPE] do I need for [MAJOR]?  ,[MAJOR] requires [NUMERIC] units of [CLASS_TYPE],[CLASS_TYPE],[MAJOR],,
63,63,F2,How many concentrations are there in [MAJOR]?,There are [NUMERIC] concentrations in [MAJOR]. They are: [CONCENTRATION_LIST].,[MAJOR],,,
64,64,F2,What is the minimum score I need on the [EXAM] to get credit for [COURSE]?,The minimum score to receive credit for [COURSE] through the [EXAM] is [NUMERIC].,[EXAM],[COURSE],,
65,65,F2,How many courses do I need to take per quarter to get a degree in [MAJOR] within [NUMERIC] years?,"To complete [MAJOR] in [NUMERIC_1] years, you must take an average of [NUMERIC_2] classes per quarter.",[MAJOR],[NUMERIC],,
66,66,F2,"If I already have [NUMERIC] units, how many quarters would it take me to complete [MAJOR]?","Assuming you average 4 classes per quarter, it would take you [NUMERIC] more quarters to finish [MAJOR].",[NUMERIC],[MAJOR],,
67,67,F2,How many units does [COURSE] count towards?,[COURSE] counts as [NUMERIC] units.,[COURSE],,,
68,68,F2,How many courses are required for [MINOR]?,[MINOR] requires [NUMERIC] courses. They are:  [COURSE_LIST].,[MINOR],,,
69,69,F2,How many [DEPARTMENT] courses does [MAJOR] require?,[MAJOR] requires [NUMERIC] courses from the [DEPARTMENT]: [COURSE_LIST].,[DEPARTMENT],[MAJOR],,
70,70,F2,Which [PROF] is best for [COURSE]? ,[PROF] has the highest Polyrating out of all instructors for [COURSE],[PROF],[COURSE],,
71,71,F2,When is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER_LIST].,[COURSE],,,
72,72,F2,During what quarters is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER_LIST].,[COURSE],,,
73,73,F2,When do people typically take [COURSE] for the [MAJOR]?,Students in [MAJOR] typically take [COURSE] between [QUARTER_1] and [QUARTER_2],[COURSE],[MAJOR],,
74,74,F2,Is [PROF] teaching [COURSE] this quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] this quarter.",[PROF],[COURSE],,
75,75,F2,Is [PROF] teaching [COURSE] next quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] next quarter.",[PROF],[COURSE],,
76,76,F2,Will [COURSE] be taught by [PROF] next quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] next quarter.",[COURSE],[PROF],,
77,77,F2,Is [PROF] going to teach [COURSE] next quarter?,"[YES/NO], [PROF] is (not) teaching [COURSE] next quarter.",[PROF],[COURSE],,
78,78,F2,Can I take [COURSE_1] before having completed [COURSE_2]?,"[YES/NO], you can(not) take [COURSE_1] without previously taking [COURSE_2].",[COURSE_1],[COURSE_2],,
79,79,F2,Can I take [COURSE_1] at the same time as [COURSE_2]?,"[YES/NO], you can(not) take [COURSE_1] at the same time as [COURSE_2]. {if no: [COURSE_1/2] must be taken first.}",[COURSE_1],[COURSE_2],,
80,80,F2,Do I have to take [COURSE_1] before [COURSE_2]?,"[YES/NO], you (do not) need to take [COURSE_1] before [COURSE_2].",[COURSE_1],[COURSE_2],,
81,81,F2,Are there any [MAJOR] electives related to [KEYWORD]?,"[YES/NO], the following courses are [MAJOR] electives related to [KEYWORD]: [COURSE_LIST].",[MAJOR],[KEYWORD],,
82,82,F2,Does the [MAJOR] have any electives about [KEYWORD]?,"[YES/NO], the following courses are [MAJOR] electives related to [KEYWORD]: [COURSE_LIST].",[MAJOR],[KEYWORD],,
83,83,F2,Do I have to take [COURSE] for the [MAJOR]?,"[YES/NO], you are required to take [COURSE]. It is a prerequisite for [COURSE_LIST]",[COURSE],[MAJOR],,
84,84,F2,Does the [MAJOR] require [COURSE]?,"[YES/NO], [COURSE] is part of the [MAJOR]. It is a prerequisite for [COURSE_LIST]",[MAJOR],[COURSE],,
85,85,F2,Does [COURSE] also count for the [MINOR]?,"[YES/NO], [COURSE] is part of the [MINOR] and [is one of the required courses] OR [; however, it is not a required course and can be replaced by any of the following: [COURSE_LIST]",[COURSE],[MINOR],,
86,86,F2,Do I have to take [COURSE] for the [MINOR]?,"[YES/NO], [COURSE] is part of the [MINOR] and [is one of the required courses] OR [; however, it is not a required course and can be replaced by any of the following: [COURSE_LIST]",[COURSE],[MINOR],,
87,87,F2,Does [MINOR] require [COURSE]?,"[YES/NO], [COURSE] is part of the [MINOR] and [is one of the required courses] OR [; however, it is not a required course and can be replaced by any of the following: [COURSE_LIST]",[MINOR],[COURSE],,
88,88,F2,Does the [MINOR] require any [DEPARTMENT] courses?,"[Y/N], [MINOR] requires the following courses:  [COURSE_LIST] OR [MINOR] does not require any [DEPARTMENT] courses.",[MINOR],[DEPARTMENT],,
89,89,F2,Can I double major with [MAJOR]?,"[Y]: In addition to [MAJOR], you may also major in [MAJOR_LIST]: You may not double major with [MAJOR].",[MAJOR],,,
90,90,F2,What are the degree requirements for [MAJOR]?,The degree requirements for [MAJOR] are: [DEGREE_REQUIREMENTS],[MAJOR],,,
91,91,F2,How many students are enrolled in [MAJOR]?,There are currently [TOTAL_COUNT] students enrolled in [MAJOR],[MAJOR],,,
92,92,F2,Is there a BS/MS blend with [MAJOR]?,[Y]: [MAJOR] has a 4+1 BS/MS program or [N]: [MAJOR] currently does not have a blended Bachelor's and Masters program,[MAJOR],,,
93,93,F2,How many units are required for [MINOR]?,[TOTAL_COUNT] units are required to obtain a [MINOR] minor,[MINOR],,,
94,94,F2,Is [COURSE] going to be offered next quarter?,Y/N: [COURSE] is (not) going to be offered next quarter.,[COURSE],,,
95,95,F2,Does an inquiry need to be submitted to switch into [MAJOR],"If one is switching within the College of Engineering into [MAJOR], then there is no portal inquiry required to switch.",[MAJOR],,,
96,96,F2,What are the minimum requirements to switch into [MAJOR],To switch into [MAJOR]: [REQUIREMENTS],[MAJOR],,,
97,97,F2,How many [COURSE_LEVEL] courses are needed as part of the 4+1 program? , [NUM_COURSES] courses at the [COURSE_LEVEL] level are needed as part of the blended BS/MS program.,[COURSE_LEVEL],,,
98,98,F2,Does [MAJOR] contain any free electives?,Y/N: [MAJOR] does (not) have free electives are part of its degree requirements,[MAJOR],,,
99,99,F2,What courses are needed to obtain [CONCENTRATION],"To obtain the [CONCENTRATION] concentration, students must take [COURSE][0], [COURSE][1]...and [COURSE][N]",[CONCENTRATION],,,
100,100,F2,IS [COURSE] needed to obtain a [MAJOR] degree?,Y/N: [COURSE] is (not) needed to obtain a [MAJOR] degree,[COURSE],[MAJOR],,
101,101,F2,IS [COURSE] needed to obtain a [MINOR] minor?,Y/N: [COURSE] is (not) needed to obtain a [MINOR] minor,[COURSE],[MINOR],,
102,102,F2,IS [COURSE] needed to obtain a [CONCENTRATION] concentration?,Y/N: [COURSE] is (not) needed to obtain a [CONCENTRATION] concentration.,[COURSE],[CONCENTRATION],,
103,103,F2,Is tutuoring offered for [COURSE],"Y/N: Tutoring is offered for [COURSE],    (if yes) Here is the tutoring schedule [TUTORING_SCHED]",[COURSE],,,
104,104,F2,Is [CONCENTRATION] open for [MAJOR] majors?,"Y/N, [CONCENTRATION] is (not) open for students who are [MAJOR] majors",[CONCENTRATION],[MAJOR],,
105,105,F2,Is there a GPA requirement to enroll in [CONCENTRATION],"Y/N, there is (not) a GPA requirement to begin this [CONCENTRATION].  if yes: The GPA requirement to enroll is [GPA_REQ]",[CONCENTRATION],,,
106,106,F2,Which catalog does someone admitted in [Term/Year] follow?,"If someone is admitted in [TERM/YEAR], they will follow the [CP_CATALOG_YEAR] catalog.",[Term/Year],,,
107,107,F2,How many tech electives are required for [MAJOR]?,There are [TOTAL_ELECTIVE_COUNT] electives required as part of the [MAJOR] degree requirements,[MAJOR],,,
108,108,F2,Is [COURSE] considered a technical elective for [MAJOR]?,Y/N: [COURSE] is (not) considered a technical elective for [MAJOR] ,[COURSE],[MAJOR],,
109,109,F2,Is there any information on [COURSE]?,Sure! Here's some more information on [COURSE]. [COURSE_DESCRIPTION],[COURSE],,,
110,110,F2,Is [COURSE] currently offered?,Y/N: [COURSE] is currently (not) being taught this quarter.,[COURSE],,,
111,111,F2,Is [PROFESSOR] going to be teaching [COURSE] next quarter?,Y/N: [COURSE] will (not) be taught by [PROFESSOR],[PROFESSOR],[COURSE],,
112,112,F2,Is [COURSE] a 4 unit class?,Y/N: [COURSE] is a [NUM_UNITS] unit class,[COURSE],,,
113,113,F2,Does [COURSE] have any prerequisites?,"Y, the prerequisites for [COURSE] are [PREREQ] or N, this course doesn't have any prerequisites",[COURSE],,,
114,114,F2,What are the general education categories required for [MAJOR] majors?,The general education categories needed for [MAJOR] majors are [GE_TYPES],[MAJOR],,,
115,115,F2,Does a student need to take [COURSE1] before enrolling in [COURSE2],"Y/N, a student does (not) need to enroll in [COURSE1] before enrolling in [COURSE2]",[COURSE1],[COURSE2],,
116,116,F2,Is [GRADE] enough to get credit for [COURSE]?,"Y/N, this grade is considered ""passing"" for [COURSE]",[GRADE],[COURSE],,
117,117,F2,Are there any [MAJOR] classes that can be taken by credit/no credit?,"N, there are no major classes for [MAJOR] that can be taken on a pass/fail basis.",[MAJOR],,,
118,118,F2,Are there general education courses that can be taken by credit/no credit?,"Y, students are allowed to select a maximum of 4 GE units to enroll on a pass/fail basis",,,,
119,119,F2,Can any technical electives for [MAJOR] be taken by credit/no credit?,"N, technical electives for [MAJOR] majors are not allowed to be taken on a pass/fail basis.",[MAJOR],,,
120,0,H1,What terms is [CLASS_NAME] typically offered?,[CLASS_NAME] is offered in [QUARTER_LIST].,[CLASS_NAME],,,
121,1,H1,What terms is [CLASS_CODE] typically offered?,[CLASS_CODE] is offered in [QUARTER_LIST].,[CLASS_CODE],,,
122,2,H1,Which terms is [CLASS_NAME] offered?,[CLASS_NAME] is offered in [QUARTER_LIST].,[CLASS_NAME],,,
123,3,H1,Which terms is [CLASS_CODE] offered?,[CLASS_CODE] is offered in [QUARTER_LIST].,[CLASS_CODE],,,
124,4,H1,Is [CLASS_NAME] offered in [QUARTER]?,"Yes, [CLASS_NAME] is offered in [QUARTER].",[CLASS_NAME],[QUARTER],,
125,5,H1,Is [CLASS_CODE] offered in [QUARTER]?,"Yes, [CLASS_CODE] is offered in [QUARTER].",[CLASS_CODE],[QUARTER],,
126,6,H1,Can I take [CLASS_NAME] in [QUARTER] quarter?,"Yes, [CLASS_NAME] is offered in [QUARTER].",[CLASS_NAME],[QUARTER],,
127,7,H1,Can I take [CLASS_CODE] in [QUARTER] quarter?,"Yes, [CLASS_CODE] is offered in [QUARTER].",[CLASS_CODE],[QUARTER],,
128,8,H1,Which classes are rarely offered?,[CLASS_CODE_LIST] do not have defined term offerings.,,,,
129,9,H1,Which classes are offered in [QUARTER]?,[CLASS_CODE_LIST] are offered in [QUARTER].,[QUARTER],,,
130,10,H1,How many classes are offered in [QUARTER] quarter?,[NUMBER] classes are offered in [QUARTER].,[QUARTER],,,
131,11,H1,Which classes are only taught in the [QUARTER]?,[CLASS_CODE_LIST] are offered only in [QUARTER].,[QUARTER],,,
132,12,H1,Which term typically offers the most course variety?,[QUARTER] typically offers the most course variety.,,,,
133,13,H1,Which term typically offers the least course variety?,[QUARTER] typically offers the least course variety.,,,,
134,14,H1,Which term typically offers the most [COURSE_LEVEL] level courses?,[QUARTER] typically offers the most [COURSE_LEVEL] level courses.,[COURSE_LEVEL],,,
135,15,H1,Which term typically offers the least [COURSE_LEVEL] level courses?,[QUARTER] typically offers the least [COURSE_LEVEL] level courses.,[COURSE_LEVEL],,,
136,16,H1,Does [QUARTER] offer any [COURSE_LEVEL] courses?,"Yes, [QUARTER] offers [NUMBER] [COURSE_LEVEL] level courses.",[QUARTER],[COURSE_LEVEL],,
137,17,H1,Which [COURSE_LEVEL] courses are offered in [QUARTER]?,[CLASS_CODE_LIST] are offered in [QUARTER].,[COURSE_LEVEL],[QUARTER],,
138,18,H1,Which term typically offers the most upper division courses?,[QUARTER] typically offers the most upper division courses.,,,,
139,19,H1,Which term typically offers the least upper division level courses?,[QUARTER] typically offers the least upper division courses.,,,,
140,20,H1,Does [QUARTER] offer any upper division courses?,"Yes, [QUARTER] typically offers [NUMBER] upper division courses.",[QUARTER],,,
141,21,H1,Which upper division courses are offered in [QUARTER]?,[CLASS_CODE_LIST] are typically offered in [QUARTER].,[QUARTER],,,
142,22,H1,Which term typically offers the most lower division courses?,[QUARTER] typically offers the most lower division courses.,,,,
143,23,H1,Which term typically offers the least lower division courses?,[QUARTER] typically offers the least lower division courses.,,,,
144,24,H1,Does [QUARTER] offer any lower division courses?,"Yes, [QUARTER] typically offers [NUMBER] lower division courses.",[QUARTER],,,
145,25,H1,Which lower division courses are offered in [QUARTER]?,[CLASS_CODE_LIST] are typically offered in [QUARTER].,[QUARTER],,,
146,26,H1,Which classes require consent of instructor?,[CLASS_CODE_LIST] require consent of instructor.,,,,
147,27,H1,Does [CLASS_NAME] require consent of instructor?,"Yes, [CLASS_NAME] requires consent of instructor.",[CLASS_NAME],,,
148,28,H1,Does [CLASS_CODE] require consent of instructor?,"Yes, [CLASS_CODE] requires consent of instructor.",[CLASS_CODE],,,
149,29,H1,Can I get into [CLASS_NAME] with instructorâs consent?,"Yes, [CLASS_NAME] can be taken with instructorâs consent.",[CLASS_NAME],,,
150,30,H1,Can I get into [CLASS_CODE] with instructorâs consent?,"Yes, [CLASS_CODE] can be taken with instructorâs consent.",[CLASS_CODE],,,
151,31,H1,What are the prerequisites for [CLASS_NAME]?,The prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].,[CLASS_NAME],,,
152,32,H1,What are the prerequisites for [CLASS_CODE]?,The prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].,[CLASS_CODE],,,
153,33,H1,What classes do I have to take before [CLASS_NAME]?,The prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].,[CLASS_NAME],,,
154,34,H1,What classes do I have to take before [CLASS_CODE]?,The prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].,[CLASS_CODE],,,
155,35,H1,What are the recommended prerequisites for [CLASS_NAME]?,The recommended prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].,[CLASS_NAME],,,
156,36,H1,What are the recommended prerequisites for [CLASS_CODE]?,The recommended prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].,[CLASS_CODE],,,
157,37,H1,What classes do I need in order to take [CLASS_NAME]?,The recursive prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].,[CLASS_NAME],,,
158,38,H1,What classes do I need in order to take [CLASS_CODE]?,The recursive prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].,[CLASS_CODE],,,
159,39,H1,Is [CLASS_NAME] a prerequisite for [CLASS_NAME]?,"Yes, [CLASS_NAME] is a prerequisite for [CLASS_NAME].",[CLASS_NAME],[CLASS_NAME],,
160,40,H1,Is [CLASS_CODE] a prerequisite for [CLASS_CODE]?,"Yes, [CLASS_CODE] is a prerequisite for [CLASS_CODE].",[CLASS_CODE],[CLASS_CODE],,
161,41,H1,Which classes have [CLASS_NAME] as a prerequisite?,[CLASS_CODE_LIST] have [CLASS_NAME] as a prerequisite.,[CLASS_NAME],,,
162,42,H1,Which classes have [CLASS_CODE] as a prerequisite?,[CLASS_CODE_LIST] have [CLASS_CODE] as a prerequisite.,[CLASS_CODE],,,
163,43,H1,Which classes have no prerequisites?,[CLASS_CODE_LIST] have no prerequisites.,,,,
164,44,H1,Which classes have more than [NUMBER] prerequisites?,[CLASS_CODE_LIST] have more than [NUMBER] prerequisites.,[NUMBER],,,
165,45,H1,Which classes have less than [NUMBER] prerequisites?,[CLASS_CODE_LIST] have less than [NUMBER] prerequisites.,[NUMBER],,,
166,46,H1,Which classes have an upper divisional prerequisite?,[CLASS_CODE_LIST] have an upper divisional prerequisite.,,,,
167,47,H1,Which classes have no upper divisional prerequisite?,[CLASS_CODE_LIST] have no upper divisional prerequisite.,,,,
168,48,H1,Does [CLASS_NAME] have an upper divisional prerequisite?,"Yes, [CLASS_NAME] has an upper divisional prerequisite.",[CLASS_NAME],,,
169,49,H1,Does [CLASS_CODE] have an upper divisional prerequisite?,"Yes, [CLASS_CODE] has an upper divisional prerequisite.",[CLASS_CODE],,,
170,50,H1,Which classes require a C- or better in another course?,[CLASS_CODE_LIST] require a C- or better in another course.,,,,
171,51,H1,Does [CLASS_NAME] require a C- or better in [CLASS_NAME]?,"Yes, [CLASS_NAME] requires a C- or better in [CLASS_NAME].",[CLASS_NAME],[CLASS_NAME],,
172,52,H1,Does [CLASS_CODE] require a C- or better in [CLASS_CODE]?,"Yes, [CLASS_CODE] requires a C- or better in [CLASS_CODE].",[CLASS_CODE],[CLASS_CODE],,
173,53,H1,Do I need a C- or better in [CLASS_NAME] to take any other classes?,"Yes, a C- or better in [CLASS_NAME] is required to take [CLASS_CODE_LIST].",[CLASS_NAME],,,
174,54,H1,Do I need a C- or better in [CLASS_CODE] to take any other classes?,"Yes, a C- or better in [CLASS_CODE] is required to take [CLASS_CODE_LIST].",[CLASS_CODE],,,
175,55,H1,What is the shortest path to taking [CLASS_NAME]?,The shortest path to taking [CLASS_NAME] is by taking [CLASS_CODE_LIST].,[CLASS_NAME],,,
176,56,H1,What classes are prerequisites for the most other classes?,[CLASS_CODE_LIST] are prerequisites for [NUMBER] other classes.,,,,
177,57,H1,Which classes require [CLASS_QUALIFICATION] standing?,[CLASS_NAME_LIST] require [CLASS_QUALIFICATION].,[CLASS_QUALIFICATION],,,
178,58,H1,Which classes do not require [CLASS_QUALIFICATION] standing?,[CLASS_NAME_LIST] do not require [CLASS_QUALIFICATION].,[CLASS_QUALIFICATION],,,
179,59,H1,Does [CLASS_NAME] require [CLASS_QUALIFICATION] standing?,"Yes, [CLASS_NAME] requires [CLASS_QUALIFICATION] standing.",[CLASS_NAME],[CLASS_QUALIFICATION],,
